"Omni Sports Leadership (Skateboarding/Skating)
                            Decathlon Sport India Private Limited                        PunePimpri-ChinchwadWakad","Pune, Pimpri-Chinchwad, Wakad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5,000-10,000 /month"
"Omni Sports Leadership (Skateboarding/Inline Skates)
                            Decathlon Sports India Private Limited                        PunePimpri-ChinchwadWakad","Pune, Pimpri-Chinchwad, Wakad                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             5,000-10,000 /month"
"Data Analytics
                            UpGrad (UpGrad Education Private Limited)                        DelhiMumbaiHyderabadBangalore","Delhi, Mumbai, Hyderabad, Bangalore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000-20,000 /month"
"Sales & Marketing
                            Decathlon Sport India Private Limited                        ChennaiNavalur","Chennai, Navalur                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10,000 /month"
"Campaign Marketing
                            BYJU'S The Learning App                        Dindigul","Dindigul                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000 /month"
"Business Development (Sales)
                            Aditya Birla Capital                        Kolkata","Kolkata                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             4,000-6,000 /month"
"C++ Development (QT Creation)
                            IIT Bombay                        Work From Home","Actively hiring
                     Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             1,000-2,000 /month"
"Marketing
                            Decathlon                        Thane","Thane                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             12,000 /month"
"Research Intern
                            Aam Aadmi Party                        Delhi","Actively hiring
                    Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            Unpaid"
"Business Development (Sales)
                            Decathlon Sports India                        Kochi","Kochi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10,000 /month"
"Business Development (Sales)
                            Decathlon Sport India Private Limited                        Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000-25,000 /month"
"Human Resources (HR)
                            Policy Bazaar                        Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000 /month"
"SME (Biology-Chemistry)
                            Vedantu Innovations Private Limited                        Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             12,000 /month"
"Business Development (Sales)
                            Decathlon Sport India Private Limited                        Noida","Noida                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10,000 /month"
"Business Development (Sales)
                            Decathlon Sports India                        Indore","Indore                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10,000 /month"
"Full Stack Development
                            Indian Institute Of Technology, Bombay                        Mumbai","Actively hiring
                    Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10,000 /month"
"Branded Content Management
                            BookMyShow                        Mumbai","Actively hiring
                    Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             7,500 /month"
"Artificial Intelligence/Machine Learning Development
                            Indian Institute Of Technology, Bombay                        Mumbai","Actively hiring
                    Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10,000 /month"
"Operations (Design/Merchandising)
                            Nykaa                        Delhi","Delhi                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             3,500-5,000 /month"
"Internet Of Things (IoT)
                            Indian Institute Of Technology, Bombay                        Mumbai","Actively hiring
                    Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             10,000 /month"
"Marketing
                            BYJU'S The Learning App                        Patna","Patna                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             15,000 /month"
"Law/Legal
                            Restaurant Brands Asia Limited (formerly Known As Burger King India Limited)                        Mumbai","Mumbai                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                            Unpaid"
"Academic Expert (Mathematics)
                            Vedantu Innovations Private Limited                        Work From Home","Work From Home                
                                Start Date                            Starts immediatelyImmediatelyDuration
                                Stipend                             12,000 /month"
